"Name","State","Notes","User","Tags","Created","Runtime","Sweep","Alpha_layer0","Alpha_layer1","Alpha_layer2","Alpha_layer3","Batch_size","Beta_layer0","Beta_layer1","Beta_layer2","Beta_layer3","Gamma_layer0","Gamma_layer1","Gamma_layer2","Gamma_layer3","Model_Name","architecture","dataset","epochs","learning_rate","momentum","noise_param","noise_type","timesteps","Accuracy","Time Taken to Run the Code(Mins)","Timestep","chance_level"
"Beta_layer1_perturbation_0.53_gauss_0.80","finished","-","","","2025-07-04T15:42:46.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.53","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.8","gauss","10","32.6","0.27395570278167725","10","10"
"Beta_layer0_perturbation_0.53_gauss_0.60","finished","-","","","2025-07-04T15:22:01.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.6000000000000001","gauss","10","42.66","0.2723982572555542","10","10"
"Gamma_layer_1_perturbation_0.13_sp_0.06","finished","-","","","2025-07-04T14:19:12.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.13","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.06","s&p","10","33.15","0.2739881157875061","10","10"
"Beta_layer2_perturbation_0.53_gauss_0.00","finished","-","","","2025-07-04T15:51:31.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.23","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0","gauss","10","68.49","0.2728627721468608","10","10"
"Gamma_layer_1_perturbation_0.53_sp_0.06","finished","-","","","2025-07-04T14:20:48.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.53","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.06","s&p","10","31.4","0.2737400770187378","10","10"
"Gamma_layer_0_perturbation_0.23_gauss_0.40","finished","-","","","2025-07-04T14:07:25.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.23","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.4","gauss","10","53.21","0.27273583014806113","10","10"
"Gamma_layer_3_perturbation_0.23_gauss_0.60","finished","-","","","2025-07-04T15:03:36.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.33","0.23","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.6000000000000001","gauss","10","42.4","0.27133443355560305","10","10"
"Gamma_layer_2_perturbation_0.43_gauss_0.00","finished","-","","","2025-07-04T14:40:23.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.43","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0","gauss","10","68.14","0.2725134054819743","10","10"
"Gamma_layer_2_perturbation_0.13_sp_0.04","finished","-","","","2025-07-04T14:35:13.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.13","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.04","s&p","10","39.92","0.27376449505488076","10","10"
"Beta_layer1_perturbation_0.53_gauss_0.80","finished","-","","","2025-07-04T15:41:11.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.13","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.8","gauss","10","28.22","0.2755463322003682","10","10"
"Gamma_layer_2_perturbation_0.23_gauss_0.20","finished","-","","","2025-07-04T14:41:35.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.23","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.2","gauss","10","65.48","0.27405152320861814","10","10"
"Gamma_layer_2_perturbation_0.53_sp_0.04","finished","-","","","2025-07-04T14:36:48.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.53","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.04","s&p","10","42.17","0.2708114822705587","10","10"
"Gamma_layer_3_perturbation_0.33_sp_0.04","finished","-","","","2025-07-04T14:54:00.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.04","s&p","10","41.35","0.2725330313046773","10","10"
"Beta_layer1_perturbation_0.53_gauss_0.40","finished","-","","","2025-07-04T15:37:57.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.4","gauss","10","55.04","0.2729860067367554","10","10"
"Beta_layer2_perturbation_0.53_gauss_0.20","finished","-","","","2025-07-04T15:54:19.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.43","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.2","gauss","10","65.33","0.2755162437756856","10","10"
"Gamma_layer_0_perturbation_0.53_sp_0.04","finished","-","","","2025-07-04T14:00:33.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.53","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.04","s&p","10","42.48","0.277312707901001","10","10"
"Gamma_layer_3_perturbation_0.33_sp_0.00","finished","-","","","2025-07-04T14:50:00.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0","s&p","10","68.49","0.27194873491923016","10","10"
"Gamma_layer_3_perturbation_0.23_sp_0.04","finished","-","","","2025-07-04T14:53:36.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.33","0.23","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.04","s&p","10","41.02","0.27213673988978065","10","10"
"Gamma_layer_2_perturbation_0.53_gauss_0.60","finished","-","","","2025-07-04T14:46:47.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.53","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.6000000000000001","gauss","10","43.13","0.2735309799512227","10","10"
"Gamma_layer_2_perturbation_0.13_sp_0.02","finished","-","","","2025-07-04T14:33:12.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.13","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.02","s&p","10","49.7","0.2715114116668701","10","10"
"Gamma_layer_2_perturbation_0.33_sp_0.00","finished","-","","","2025-07-04T14:32:01.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0","s&p","10","68.49","0.26987624168395996","10","10"
"Beta_layer2_perturbation_0.53_gauss_0.60","finished","-","","","2025-07-04T15:58:42.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.53","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.6000000000000001","gauss","10","41.16","0.2743870774904887","10","10"
"Gamma_layer_2_perturbation_0.53_gauss_0.20","finished","-","","","2025-07-04T14:42:47.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.53","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.2","gauss","10","63.91","0.27456700007120766","10","10"
"Gamma_layer_3_perturbation_0.13_sp_0.06","finished","-","","","2025-07-04T14:55:11.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.33","0.13","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.06","s&p","10","33.07","0.27029699087142944","10","10"
"Gamma_layer_2_perturbation_0.33_sp_0.02","finished","-","","","2025-07-04T14:34:00.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.02","s&p","10","51.87","0.27239015102386477","10","10"
"Gamma_layer_1_perturbation_0.23_gauss_0.40","finished","-","","","2025-07-04T14:25:35.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.23","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.4","gauss","10","56.32","0.2754926164944967","10","10"
"Gamma_layer_0_perturbation_0.23_gauss_0.80","finished","-","","","2025-07-04T14:11:30.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.23","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.8","gauss","10","32.03","0.2758287747701009","10","10"
"Gamma_layer_3_perturbation_0.33_sp_0.06","finished","-","","","2025-07-04T14:55:59.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.06","s&p","10","35.04","0.2719075957934062","10","10"
"Gamma_layer_0_perturbation_0.13_sp_0.02","finished","-","","","2025-07-04T13:56:55.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.13","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.02","s&p","10","45.94","0.2728828509648641","10","10"
"Beta_layer1_perturbation_0.53_sp_0.04","finished","-","","","2025-07-04T15:30:46.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.53","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.04","s&p","10","42.33","0.27282813787460325","10","10"
