2025-09-09 11:52:24,913 INFO    MainThread:4023039 [wandb_setup.py:_flush():80] Current SDK version is 0.21.0
2025-09-09 11:52:24,914 INFO    MainThread:4023039 [wandb_setup.py:_flush():80] Configure stats pid to 4023039
2025-09-09 11:52:24,914 INFO    MainThread:4023039 [wandb_setup.py:_flush():80] Loading settings from /home/ajinkya/.config/wandb/settings
2025-09-09 11:52:24,914 INFO    MainThread:4023039 [wandb_setup.py:_flush():80] Loading settings from /home/ajinkya/projects/TestRepo_MsThesis_Ajinkya/week8/wandb/settings
2025-09-09 11:52:24,914 INFO    MainThread:4023039 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-09-09 11:52:24,914 INFO    MainThread:4023039 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /home/ajinkya/projects/TestRepo_MsThesis_Ajinkya/week8/wandb/run-20250909_115224-wzs9hfdv/logs/debug.log
2025-09-09 11:52:24,914 INFO    MainThread:4023039 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /home/ajinkya/projects/TestRepo_MsThesis_Ajinkya/week8/wandb/run-20250909_115224-wzs9hfdv/logs/debug-internal.log
2025-09-09 11:52:24,914 INFO    MainThread:4023039 [wandb_init.py:init():830] calling init triggers
2025-09-09 11:52:24,914 INFO    MainThread:4023039 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'learning_rate': 5e-05, 'architecture': 'CNN', 'dataset': 'CIFAR-10', 'epochs': 10, 'Batch_size': 40, 'momentum': 0.9, 'timesteps': 10, 'training_condition': None, 'Model_Name': 'pc_class_train_balanced', 'Gamma_layer0': 0.13, 'Gamma_layer1': 0.13, 'Gamma_layer2': 0.13, 'Gamma_layer3': 0.13, 'Beta_layer0': 0.43, 'Beta_layer1': 0.43, 'Beta_layer2': 0.43, 'Beta_layer3': 0.43, 'Alpha_layer0': 0.024, 'Alpha_layer1': 0.024, 'Alpha_layer2': 0.024, 'Alpha_layer3': 0.024, 'noise_type': 's&p', 'noise_param': 0.0, '_wandb': {}}
2025-09-09 11:52:24,914 INFO    MainThread:4023039 [wandb_init.py:init():871] starting backend
2025-09-09 11:52:25,124 INFO    MainThread:4023039 [wandb_init.py:init():874] sending inform_init request
2025-09-09 11:52:25,131 INFO    MainThread:4023039 [wandb_init.py:init():882] backend started and connected
2025-09-09 11:52:25,138 INFO    MainThread:4023039 [wandb_init.py:init():953] updated telemetry
2025-09-09 11:52:25,144 INFO    MainThread:4023039 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-09-09 11:52:25,880 INFO    MainThread:4023039 [wandb_init.py:init():1029] starting run threads in backend
2025-09-09 11:52:25,936 INFO    MainThread:4023039 [wandb_run.py:_console_start():2458] atexit reg
2025-09-09 11:52:25,936 INFO    MainThread:4023039 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-09-09 11:52:25,936 INFO    MainThread:4023039 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-09-09 11:52:25,936 INFO    MainThread:4023039 [wandb_run.py:_redirect():2398] Redirects installed.
2025-09-09 11:52:25,938 INFO    MainThread:4023039 [wandb_init.py:init():1075] run started, returning control to user process
2025-09-09 11:52:30,621 INFO    MainThread:4023039 [wandb_watch.py:_watch():70] Watching
2025-09-09 11:52:31,188 INFO    MsgRouterThr:4023039 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
